product_id,product_name,category,price,description,image_url,product_url,gender,rating
46,RESIN EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings with transparent resin stone. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/269/808/17/w/448/1856269808_1_1_1.jpg?ts=1689758409775,https://www.zara.com/in/en/resin-earrings-p01856269.html,Women,3.8
47,FAUX PEARL CHAIN LINK EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal chain link earrings with a ball and faux pearl pendant. Push-back clasps.,https://static.zara.net/photos///2023/I/0/1/p/1856/271/808/12/w/448/1856271808_1_1_1.jpg?ts=1689680843776,https://www.zara.com/in/en/faux-pearl-chain-link-earrings-p01856271.html,Women,3.9
48,PACK OF METALLIC BRACELETS,ACCESSORIES_JEWELLERY,1590.0,Pack of textured metal bracelets.,https://static.zara.net/photos///2023/I/0/1/p/4548/228/808/12/w/448/4548228808_1_1_1.jpg?ts=1689680843456,https://www.zara.com/in/en/pack-of-metallic-bracelets-p04548228.html,Women,4.6
49,XL POLARISED SUNGLASSES,ACCESSORIES_JEWELLERY,2290.0,Sunglasses with XL shield.100% UV Protection. Category 3.,https://static.zara.net/photos///2023/I/0/1/p/2727/007/800/2/w/448/2727007800_6_1_1.jpg?ts=1689602885857,https://www.zara.com/in/en/xl-polarised-sunglasses-p02727007.html,Women,4.3
50,STRAIGHT SUNGLASSES WITH FRAME,ACCESSORIES_JEWELLERY,1990.0,Sunglasses with a coloured resin frame. Case included.100% UV PROTECTION. CATEGORY 3.,https://static.zara.net/photos///2023/I/0/1/p/4646/002/800/2/w/448/4646002800_6_1_1.jpg?ts=1689601549294,https://www.zara.com/in/en/straight-sunglasses-with-frame-p04646002.html,Women,3.3
51,CATEYE SUNGLASSES,ACCESSORIES_JEWELLERY,1990.0,Sunglasses with a resin frame. Case included.100% UV PROTECTION. CATEGORY 3.,https://static.zara.net/photos///2023/I/0/1/p/4646/201/800/2/w/448/4646201800_1_1_1.jpg?ts=1684420173174,https://www.zara.com/in/en/cateye-sunglasses-p04646201.html,Women,4.2
52,MAXI WOODEN NECKLACE,ACCESSORIES_JEWELLERY,2290.0,Maxi necklace with contrasting wood. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4736/212/303/2/w/448/4736212303_1_1_1.jpg?ts=1684852151014,https://www.zara.com/in/en/maxi-wooden-necklace-p04736212.html,Women,3.9
53,CIRCULAR WOODEN NECKLACE,ACCESSORIES_JEWELLERY,1990.0,Metal necklace with a circular wooden pendant.,https://static.zara.net/photos///2023/I/0/1/p/1856/212/303/2/w/448/1856212303_1_1_1.jpg?ts=1684852148956,https://www.zara.com/in/en/circular-wooden-necklace-p01856212.html,Women,3.8
54,MAXI BEADED NECKLACE,ACCESSORIES_JEWELLERY,2990.0,Maxi necklace with beads. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/7243/200/700/17/w/448/7243200700_1_1_1.jpg?ts=1692187333204,https://www.zara.com/in/en/maxi-beaded-necklace-p07243200.html,Women,4.4
55,SATIN TURBAN CAP,ACCESSORIES_JEWELLERY,990.0,Satin cap headband. Elastic detail and tie detail.,https://static.zara.net/photos///2023/I/0/1/p/0653/266/620/17/w/448/0653266620_1_1_1.jpg?ts=1692187330999,https://www.zara.com/in/en/satin-turban-cap-p00653266.html,Women,4.6
